2025-01-09 13:37:27 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6384.txt
2025-01-09 13:37:28 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5386.txt
2025-01-09 13:37:28 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12911_2024_Article_2847.txt
2025-01-09 13:37:28 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6445.txt
2025-01-09 13:37:30 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6480.txt
2025-01-09 13:37:30 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6593.txt
2025-01-09 13:37:31 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6606.txt
2025-01-09 13:37:32 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6565.txt
2025-01-09 13:37:33 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6615.txt
2025-01-09 13:37:33 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6611.txt
2025-01-09 13:37:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12122.txt
2025-01-09 13:37:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12143.txt
2025-01-09 13:37:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12118.txt
2025-01-09 13:37:38 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12109.txt
2025-01-09 13:37:38 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12135.txt
2025-01-09 13:37:40 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12125.txt
2025-01-09 13:37:40 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6599.txt
2025-01-09 13:37:41 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12059.txt
2025-01-09 13:37:41 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6595.txt
2025-01-09 13:37:42 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12145.txt
2025-01-09 13:37:44 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12913_2024_Article_12185.txt
2025-01-09 13:37:45 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12929_2024_Article_1094.txt
2025-01-09 13:37:45 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12917_2024_Article_4369.txt
2025-01-09 13:37:47 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12929_2024_Article_1095.txt
2025-01-09 13:37:48 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12931_2024_Article_3051.txt
2025-01-09 13:37:50 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12920_2024_Article_2080.txt
2025-01-09 13:37:52 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12920_2024_Article_2074.txt
2025-01-09 13:37:53 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12931_2024_Article_3072.txt
2025-01-09 13:37:54 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12933_2024_Article_2564.txt
2025-01-09 13:37:55 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12933_2024_Article_2556.txt
2025-01-09 13:37:55 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12943_2024_Article_2122.txt
2025-01-09 13:37:55 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12944_2024_Article_2417.txt
2025-01-09 13:37:56 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12939_2024_Article_2368.txt
2025-01-09 13:37:56 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12933_2024_Article_2547.txt
2025-01-09 13:37:57 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12944_2024_Article_2355.txt
2025-01-09 13:37:58 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6567.txt
2025-01-09 13:37:59 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12961_2024_Article_1254.txt
2025-01-09 13:38:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12961_2024_Article_1280.txt
2025-01-09 13:38:02 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12957_2024_Article_3642.txt
2025-01-09 13:38:03 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12947_2024_Article_335.txt
2025-01-09 13:38:04 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12964_2024_Article_1996.txt
2025-01-09 13:38:05 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12951_2024_Article_2937.txt
2025-01-09 13:38:06 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12982_2024_Article_382.txt
2025-01-09 13:38:07 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12964_2024_Article_1997.txt
2025-01-09 13:38:07 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12991_2024_Article_538.txt
2025-01-09 13:38:11 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12967_2024_Article_6014.txt
2025-01-09 13:38:11 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12966_2024_Article_1703.txt
2025-01-09 13:38:11 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12951_2024_Article_3041.txt
2025-01-09 13:38:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12967_2024_Article_6031.txt
2025-01-09 13:38:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13006_2024_Article_697.txt
2025-01-09 13:38:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12967_2024_Article_6023.txt
2025-01-09 13:38:14 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13018_2024_Article_5435.txt
2025-01-09 13:38:15 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12979_2024_Article_495.txt
2025-01-09 13:38:15 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12943_2024_Article_2182.txt
2025-01-09 13:38:16 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13054_2024_Article_5230.txt
2025-01-09 13:38:17 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13014_2024_Article_2570.txt
2025-01-09 13:38:19 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13063_2024_Article_8650.txt
2025-01-09 13:38:20 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13018_2024_Article_5396.txt
2025-01-09 13:38:20 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13054_2024_Article_5199.txt
2025-01-09 13:38:21 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13006_2024_Article_698.txt
2025-01-09 13:38:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13021_2024_Article_289.txt
2025-01-09 13:38:25 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12993_2024_Article_261.txt
2025-01-09 13:38:25 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13075_2024_Article_3469.txt
2025-01-09 13:38:27 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13223_2024_Article_946.txt
2025-01-09 13:38:27 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13063_2024_Article_8692.txt
2025-01-09 13:38:29 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13104_2024_Article_7072.txt
2025-01-09 13:38:29 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13046_2024_Article_3269.txt
2025-01-09 13:38:30 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13046_2024_Article_3250.txt
2025-01-09 13:38:30 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13244_2024_Article_1878.txt
2025-01-09 13:38:31 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\13148_2024_Article_1808.txt
